instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
cyclicnh6 classical 18 random 9.01 0.91 0.64 0.27 7.71 52 2835 18 320 217
katsuranh6 F4 27 random 0.26 0.05 0.04 0.02 0.16 22 528 6 537 123
econh4 classical 4 random 0.06 0.04 0.03 0.00 0.00 8 34 5 14 6
econ4 F4 23 random 0.06 0.04 0.03 0.00 0.00 7 29 2 35 7
cyclicn7 classical 6 random 491.18 11.41 3.84 6.09 472.35 209 27185 12 2099 1625
f633 F4 25 random 0.68 0.06 0.04 0.11 0.45 47 1022 4 2278 291
katsuran4 F4 19 random 0.08 0.04 0.04 0.00 0.02 7 48 5 129 11
f633h classical 3 random 0.97 0.18 0.13 0.08 0.65 47 977 6 214 167
fatemanh F4 3 random 0.32 0.10 0.08 0.01 0.18 27 1009 14 471 51
econ7 F4 21 random 0.42 0.04 0.04 0.07 0.27 32 747 4 1133 129
cyclicn6 F4 25 random 1.79 0.12 0.09 0.41 1.13 45 1135 9 1710 497
econh6 F4 19 random 0.28 0.04 0.04 0.05 0.16 30 468 8 812 109
econ5 classical 20 random 0.12 0.09 0.07 0.01 0.01 11 82 3 28 15
katsuranh5 classical 12 random 0.15 0.10 0.07 0.01 0.04 13 168 5 31 18
fatemanh classical 19 random 0.99 0.27 0.21 0.06 0.63 26 964 15 110 61
f633 classical 14 random 45.21 1.99 1.27 2.29 40.59 38 2449 10 471 290
econ5 F4 10 random 0.10 0.05 0.04 0.02 0.02 5 45 8 170 22
katsuran6 F4 28 random 0.25 0.05 0.04 0.02 0.15 22 528 6 537 123
cyclicn6 classical 23 random 11.61 1.08 0.76 0.56 9.84 45 1154 15 533 390
cyclicn5 classical 17 random 0.44 0.19 0.15 0.03 0.20 20 232 8 113 75
katsuran7 F4 8 random 0.97 0.05 0.04 0.08 0.74 41 1923 7 1346 293
butcher8 F4 17 random 3.10 0.14 0.10 0.97 1.80 54 1796 4 2481 612
katsuran6 classical 19 random 0.41 0.14 0.11 0.02 0.23 22 528 6 70 48
f633h classical 28 random 0.99 0.17 0.13 0.08 0.67 47 977 6 214 167
econ7 F4 17 random 0.43 0.05 0.04 0.07 0.27 32 747 4 1133 129
cyclicn5 F4 17 random 0.28 0.08 0.07 0.07 0.09 20 232 8 600 176
econ6 F4 15 random 0.13 0.04 0.04 0.02 0.06 18 232 4 417 46
econh7 F4 25 random 0.81 0.07 0.05 0.19 0.47 50 1209 10 1233 234
f633h classical 8 random 0.96 0.17 0.13 0.08 0.65 47 977 6 214 167
econh7 classical 10 random NA NA NA NA NA NA NA NA NA NA
cyclicnh5 F4 21 random 0.33 0.10 0.08 0.07 0.13 38 538 13 746 221
katsuran6 classical 3 random 0.43 0.16 0.12 0.02 0.23 22 528 6 70 48
econh4 classical 19 random 0.05 0.03 0.03 0.00 0.00 8 34 5 14 6
cyclicn4 F4 21 random 0.01 0.00 0.00 0.00 0.00 7 30 6 43 10
econ7 classical 20 random 0.96 0.16 0.12 0.07 0.70 32 747 4 153 113
katsuran5 classical 4 random 0.13 0.07 0.07 0.01 0.04 13 168 5 31 18
econ7 classical 15 random 0.94 0.13 0.11 0.07 0.70 32 747 4 153 113
cyclicnh7 classical 1 random 526.88 17.22 4.74 4.72 503.04 160 42780 17 1385 1008
cyclicn5 classical 28 random 0.43 0.18 0.15 0.03 0.19 20 232 8 113 75
cyclicn6 classical 16 random 5.09 0.62 0.45 0.24 4.14 45 1135 9 354 255
cyclicn6 F4 4 random 1.23 0.10 0.08 0.41 0.60 45 1135 9 1710 497
katsuran5 F4 2 random 0.11 0.05 0.04 0.01 0.04 13 168 5 219 49
fatemanh classical 5 random 1.47 0.25 0.21 0.08 1.09 38 1586 17 147 87
butcher8 classical 19 random 47.99 2.68 1.58 2.78 42.22 39 1037 4 521 290
cyclicn5 F4 4 random 0.31 0.11 0.08 0.08 0.09 20 232 8 600 176
cyclicnh7 classical 22 random 386.93 9.82 2.53 3.95 371.77 134 30703 13 1172 823
econ6 classical 18 random 0.28 0.15 0.11 0.01 0.10 18 232 4 61 41
econ5 F4 21 random 0.09 0.05 0.04 0.01 0.02 8 65 5 157 11
katsuran6 classical 12 random 0.39 0.12 0.11 0.02 0.23 22 528 6 70 48
katsuranh4 classical 19 random 0.06 0.04 0.03 0.00 0.00 7 49 4 12 5
cyclicnh4 classical 8 random 0.06 0.04 0.03 0.00 0.00 7 30 6 12 5
cyclicn4 F4 2 random 0.01 0.00 0.00 0.00 0.00 7 30 6 43 10
cyclicn6 classical 11 random 5.09 0.62 0.45 0.24 4.15 45 1135 9 354 255
cyclicnh4 classical 25 random 0.05 0.03 0.03 0.00 0.00 7 30 6 12 5
econ5 classical 2 random 0.12 0.09 0.07 0.00 0.01 11 82 3 28 15
econh4 F4 27 random 0.05 0.04 0.03 0.00 0.00 8 34 5 31 6
econ7 classical 12 random 0.92 0.12 0.11 0.07 0.69 32 747 4 153 113
cyclicnh5 classical 19 random 0.42 0.19 0.15 0.04 0.17 14 191 8 71 38
cyclicnh4 classical 3 random 0.05 0.03 0.03 0.00 0.00 7 30 6 12 5
cyclicnh7 classical 0 random 258.51 4.38 1.66 1.89 251.42 255 73446 17 1161 886
katsuranh7 classical 21 random 2.25 0.35 0.26 0.07 1.79 41 1923 7 169 128
katsuranh7 classical 28 random 2.24 0.35 0.26 0.07 1.76 41 1923 7 169 128
cyclicnh6 classical 2 random 13.55 0.90 0.60 0.42 12.10 39 1925 12 352 232
noon7 classical 12 random NA NA NA NA NA NA NA NA NA NA
f633h classical 17 random 1.39 0.58 0.54 0.08 0.67 47 977 6 214 167
f633h F4 23 random 0.59 0.06 0.04 0.07 0.40 47 977 6 2025 282
econh5 F4 12 random 0.11 0.05 0.04 0.01 0.03 17 127 9 343 49
katsuranh6 F4 9 random 0.26 0.05 0.04 0.02 0.15 22 528 6 537 123
cyclicnh5 classical 20 random 0.48 0.20 0.16 0.03 0.21 38 538 13 113 75
katsuran4 classical 23 random 0.06 0.04 0.03 0.00 0.00 7 49 4 12 5
noon7 classical 11 random NA NA NA NA NA NA NA NA NA NA
cyclicn6 classical 1 random 5.29 0.63 0.46 0.24 4.33 45 1135 9 354 255
cyclicnh7 classical 2 random 2830.45 58.27 11.53 19.37 2746.77 204 54355 19 2873 2098
cyclicn7 classical 18 random 489.45 11.04 3.91 6.69 470.36 209 27185 12 2099 1625
katsuran4 classical 18 random 0.05 0.03 0.03 0.00 0.00 7 49 4 12 5
cyclicnh7 classical 27 random 2801.16 56.42 10.32 45.13 2694.51 139 29119 13 2714 1935
noon7 F4 8 random 342.89 0.44 0.23 18.54 317.83 495 71153 13 116239 7864
katsuran4 F4 10 random 0.05 0.04 0.03 0.00 0.01 7 49 4 44 6
econ7 F4 9 random 0.42 0.04 0.04 0.07 0.27 32 747 4 1133 129
fatemanh F4 5 random 0.31 0.09 0.08 0.01 0.18 27 1009 14 471 51
katsuranh4 classical 1 random 0.06 0.04 0.03 0.00 0.00 7 49 4 12 5
fatemanh F4 1 random 0.32 0.10 0.08 0.01 0.18 27 1009 14 471 51
econ5 F4 27 random 0.08 0.04 0.03 0.01 0.02 11 84 5 151 16
