instance rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
cyclicnh5 18 static 0.49 0.00 0.00 0.19 0.27 38 538 13 113 75
cyclicnh5 19 static 0.52 0.00 0.00 0.21 0.27 38 538 13 113 75
cyclicnh5 20 static 0.56 0.00 0.00 0.20 0.32 38 538 13 113 75
cyclicnh5 21 static 0.49 0.00 0.00 0.19 0.26 38 538 13 113 75
cyclicnh5 22 static 0.50 0.00 0.00 0.19 0.28 38 538 13 113 75
cyclicnh5 23 static 0.51 0.00 0.00 0.20 0.28 38 538 13 113 75
cyclicnh5 24 static 0.51 0.00 0.00 0.19 0.28 38 538 13 113 75
cyclicnh5 25 static 0.49 0.00 0.00 0.18 0.28 38 538 13 113 75
cyclicnh5 26 static 0.51 0.00 0.00 0.19 0.29 38 538 13 113 75
cyclicnh5 27 static 0.50 0.00 0.00 0.20 0.27 38 538 13 113 75
cyclicnh5 28 static 0.51 0.00 0.00 0.20 0.27 38 538 13 113 75
cyclicnh5 29 static 0.45 0.00 0.00 0.17 0.25 38 538 13 113 75
cyclicn6 0 static 6.99 0.00 0.00 1.70 5.18 45 1135 9 354 255
cyclicn6 1 static 8.16 0.00 0.00 2.07 5.98 45 1135 9 354 255
cyclicn6 2 static 9.00 0.00 0.00 2.23 6.65 45 1135 9 354 255
cyclicn6 3 static 8.70 0.00 0.00 2.09 6.48 45 1135 9 354 255
cyclicn6 4 static 8.53 0.00 0.00 2.17 6.24 45 1135 9 354 255
cyclicn6 5 static 8.96 0.00 0.00 2.30 6.53 45 1135 9 354 255
cyclicn6 6 static 9.18 0.00 0.00 2.25 6.81 45 1135 9 354 255
cyclicn6 7 static 8.99 0.00 0.00 2.04 6.83 45 1135 9 354 255
cyclicn6 8 static 9.03 0.00 0.00 2.31 6.60 45 1135 9 354 255
cyclicn6 9 static 9.05 0.00 0.00 2.23 6.70 45 1135 9 354 255
cyclicn6 10 static 9.74 0.00 0.00 2.42 7.19 45 1135 9 354 255
cyclicn6 11 static 9.49 0.00 0.00 2.31 7.06 45 1135 9 354 255
cyclicn6 12 static 8.39 0.00 0.00 1.99 6.28 45 1135 9 354 255
cyclicn6 13 static 8.78 0.00 0.00 2.18 6.48 45 1135 9 354 255
cyclicn6 14 static 9.04 0.00 0.00 2.27 6.65 45 1135 9 354 255
cyclicn6 15 static 8.97 0.00 0.00 2.19 6.66 45 1135 9 354 255
cyclicn6 16 static 8.54 0.00 0.00 2.10 6.32 45 1135 9 354 255
cyclicn6 17 static 8.70 0.00 0.00 2.21 6.38 45 1135 9 354 255
cyclicn6 18 static 9.16 0.00 0.00 2.18 6.85 45 1135 9 354 255
cyclicn6 19 static 9.01 0.00 0.00 2.12 6.77 45 1135 9 354 255
cyclicn6 20 static 8.31 0.00 0.00 2.04 6.15 45 1135 9 354 255
cyclicn6 21 static 8.85 0.00 0.00 2.23 6.50 45 1135 9 354 255
cyclicn6 22 static 9.31 0.00 0.00 2.40 6.79 45 1135 9 354 255
cyclicn6 23 static 9.92 0.00 0.00 2.32 7.47 45 1135 9 354 255
cyclicn6 24 static 8.86 0.00 0.00 2.18 6.57 45 1135 9 354 255
cyclicn6 25 static 8.32 0.00 0.00 2.14 6.06 45 1135 9 354 255
cyclicn6 26 static 8.70 0.00 0.00 2.11 6.48 45 1135 9 354 255
cyclicn6 27 static 8.79 0.00 0.00 2.19 6.49 45 1135 9 354 255
cyclicn6 28 static 8.96 0.00 0.00 2.12 6.72 45 1135 9 354 255
cyclicn6 29 static 9.74 0.00 0.00 2.42 7.18 45 1135 9 354 255
cyclicnh6 0 static 9.76 0.00 0.00 2.19 7.43 99 3502 15 389 290
cyclicnh6 1 static 10.14 0.00 0.00 2.37 7.63 99 3502 15 389 290
cyclicnh6 2 static 9.86 0.00 0.00 2.15 7.57 99 3502 15 389 290
cyclicnh6 3 static 9.38 0.00 0.00 2.04 7.21 99 3502 15 389 290
cyclicnh6 4 static 10.66 0.00 0.00 2.40 8.11 99 3502 15 389 290
cyclicnh6 5 static 9.33 0.00 0.00 2.15 7.04 99 3502 15 389 290
cyclicnh6 6 static 9.82 0.00 0.00 2.24 7.43 99 3502 15 389 290
cyclicnh6 7 static 9.69 0.00 0.00 2.13 7.42 99 3502 15 389 290
cyclicnh6 8 static 9.93 0.00 0.00 2.15 7.64 99 3502 15 389 290
cyclicnh6 9 static 9.18 0.00 0.00 2.02 7.03 99 3502 15 389 290
cyclicnh6 10 static 9.46 0.00 0.00 2.18 7.13 99 3502 15 389 290
cyclicnh6 11 static 9.72 0.00 0.00 2.27 7.30 99 3502 15 389 290
cyclicnh6 12 static 9.49 0.00 0.00 2.23 7.12 99 3502 15 389 290
cyclicnh6 13 static 9.23 0.00 0.00 2.15 6.95 99 3502 15 389 290
cyclicnh6 14 static 9.66 0.00 0.00 2.23 7.29 99 3502 15 389 290
cyclicnh6 15 static 9.27 0.00 0.00 2.23 6.92 99 3502 15 389 290
cyclicnh6 16 static 10.16 0.00 0.00 2.29 7.73 99 3502 15 389 290
cyclicnh6 17 static 9.85 0.00 0.00 2.25 7.46 99 3502 15 389 290
cyclicnh6 18 static 9.85 0.00 0.00 2.14 7.56 99 3502 15 389 290
cyclicnh6 19 static 9.38 0.00 0.00 2.03 7.22 99 3502 15 389 290
cyclicnh6 20 static 10.35 0.00 0.00 2.23 7.96 99 3502 15 389 290
cyclicnh6 21 static 9.75 0.00 0.00 2.22 7.40 99 3502 15 389 290
cyclicnh6 22 static 10.13 0.00 0.00 2.28 7.71 99 3502 15 389 290
cyclicnh6 23 static 9.76 0.00 0.00 2.23 7.39 99 3502 15 389 290
cyclicnh6 24 static 10.50 0.00 0.00 2.41 7.94 99 3502 15 389 290
cyclicnh6 25 static 9.36 0.00 0.00 2.06 7.16 99 3502 15 389 290
cyclicnh6 26 static 9.99 0.00 0.00 2.23 7.61 99 3502 15 389 290
cyclicnh6 27 static 9.95 0.00 0.00 2.42 7.38 99 3502 15 389 290
cyclicnh6 28 static 11.45 0.00 0.00 2.64 8.65 99 3502 15 389 290
cyclicnh6 29 static 9.92 0.00 0.00 2.24 7.55 99 3502 15 389 290
katsuran4 0 static 0.02 0.00 0.00 0.00 0.00 7 49 4 12 5
katsuran4 1 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuran4 2 static 0.02 0.00 0.00 0.01 0.01 7 49 4 12 5
katsuran4 3 static 0.02 0.00 0.00 0.00 0.00 7 49 4 12 5
katsuran4 4 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuran4 5 static 0.02 0.00 0.00 0.01 0.01 7 49 4 12 5
katsuran4 6 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuran4 7 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuran4 8 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuran4 9 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuran4 10 static 0.02 0.00 0.00 0.01 0.01 7 49 4 12 5
katsuran4 11 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuran4 12 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuran4 13 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuran4 14 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuran4 15 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuran4 16 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuran4 17 static 0.02 0.00 0.00 0.01 0.01 7 49 4 12 5
katsuran4 18 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuran4 19 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuran4 20 static 0.02 0.00 0.00 0.01 0.01 7 49 4 12 5
katsuran4 21 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuran4 22 static 0.02 0.00 0.00 0.01 0.01 7 49 4 12 5
katsuran4 23 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
katsuran4 24 static 0.02 0.00 0.00 0.00 0.01 7 49 4 12 5
